impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,erases,table_size,active,available,tombstones,total_probes,inserts,deletes,lookups,full_scans,compactions,max_in_table,available_pct,load_factor_pct,eff_load_factor_pct,tombstones_pct,average_probes,probe_type,compaction_state
hash_map_single,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,14.3206,20951,12288,8663,1279,1024,102,153,311852,9687,8663,0,0,18,1024,7,80,92,11,16.994659,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,15.8928,20951,12288,8663,1279,1024,189,66,121155,9687,8663,0,0,23,1024,14,80,85,5,6.602452,double,compaction_on
